anime_id,name,episodes,rating,members,type_id
32281,'0',1,9.37,200630,1);
5114,'1',64,9.26,793665,2);
28977,'2',51,9.25,114262,2);
9253,'3',24,9.17,673572,2);
9969,'4',51,9.16,151266,2);
32935,'5',10,9.15,93351,2);
11061,'6',148,9.13,425855,2);
820,'7',110,9.11,80679,3);
15335,'8',1,9.1,72534,1);
15417,'9',13,9.11,81109,2);
4181,'10',24,9.06,456749,2);
28851,'11',1,9.05,102733,1);
918,'12',201,9.04,336376,2);
2904,'13',25,8.98,572888,2);
28891,'14',25,8.93,179342,2);
199,'15',1,8.93,466254,1);
23273,'16',22,8.92,416397,2);
24701,'17',10,8.88,75894,2);
12355,'18',1,8.84,226193,1);
1575,'19',25,8.83,715151,2);
263,'20',75,8.83,157670,2);
44,'21',4,8.83,129307,3);
1,'22',26,8.82,486824,2);
30276,'23',12,8.82,552458,2);
164,'24',1,8.81,339556,1);
7311,'25',1,8.81,240297,1);
17074,'26',26,8.8,205959,2);
21939,'27',10,8.8,101351,2);
457,'28',26,8.78,300030,2);
2001,'29',27,8.78,562962,2);
245,'30',43,8.77,268487,2);
32983,'31',13,8.76,38865,2);
5258,'32',26,8.75,88995,2);
28957,'33',1,8.75,32266,1);
11665,'34',13,8.75,98431,2);
431,'35',1,8.74,333186,1);
11741,'36',12,8.73,340973,2);
31757,'37',1,8.73,34347,1);
19,'38',74,8.72,247562,2);
12365,'39',25,8.71,133620,2);
1535,'40',37,8.71,1013917,2);
32366,'41',2,8.69,16947,3);
30654,'42',25,8.68,176475,2);
20583,'43',25,8.68,284498,2);
19647,'44',25,8.68,66756,2);
4282,'45',1,8.68,111074,1);
10379,'46',13,8.67,102322,2);
22135,'47',11,8.67,97187,2);
21329,'48',1,8.66,49036,4);
31043,'49',12,8.65,402381,2);
7785,'50',11,8.65,122531,2);
3297,'51',13,8.64,56162,2);
30709,'52',4,8.64,33422,3);
6114,'53',26,8.64,139474,2);
31240,'54',25,8.64,355839,2);
4565,'55',1,8.64,82253,1);
5300,'56',13,8.64,114173,2);
9989,'57',11,8.62,463835,2);
24415,'58',25,8.62,184525,2);
11577,'59',1,8.61,192424,1);
10408,'60',1,8.61,197439,1);
28171,'61',24,8.61,348951,2);
32995,'62',12,8.61,103178,2);
21899,'63',2,8.6,11104,1);
26055,'64',24,8.6,93657,2);
7472,'65',1,8.59,51185,1);
777,'66',10,8.59,297454,3);
22535,'67',24,8.59,425457,2);
28735,'68',13,8.59,71295,2);
12431,'69',99,8.59,72958,2);
28805,'70',1,8.58,80825,1);
578,'71',1,8.58,174878,1);
16894,'72',25,8.58,243325,2);
5028,'73',25,8.58,28653,2);
21,'74',\N,8.58,504862,2);
801,'75',26,8.57,113993,2);
31933,'76',39,8.57,74074,2);
5205,'77',1,8.57,95658,1);
17389,'78',39,8.57,31234,2);
170,'79',101,8.56,82570,2);
