anime_id,genre_id
32281,1
32281,2
32281,3
32281,4
5114,5
5114,6
5114,1
5114,7
5114,8
5114,9
5114,10
28977,5
28977,11
28977,12
28977,13
28977,14
28977,15
28977,10
9253,15
9253,16
9969,5
9969,11
9969,12
9969,13
9969,14
9969,15
9969,10
32935,11
32935,1
32935,3
32935,10
32935,17
11061,5
11061,6
11061,10
11061,18
820,1
820,9
820,15
820,19
15335,5
15335,11
15335,12
15335,13
15335,14
15335,15
15335,10
15417,5
15417,11
15417,12
15417,13
15417,14
15417,15
15417,10
4181,1
4181,7
4181,2
4181,20
4181,4
28851,1
28851,3
28851,10
918,5
918,11
918,12
918,13
918,14
918,15
918,10
2904,5
2904,1
2904,21
2904,9
2904,15
2904,18
28891,11
28891,1
28891,3
28891,10
28891,17
199,6
199,1
199,4
23273,1
23273,22
23273,2
23273,3
23273,10
24701,6
24701,7
24701,12
24701,23
24701,24
24701,20
24701,4
12355,7
12355,20
1575,5
1575,21
1575,9
1575,3
1575,15
1575,18
263,11
263,1
263,10
263,17
44,5
44,1
44,12
44,25
44,2
44,14
1,5
1,6
1,11
1,1
1,15
1,19
30276,5
30276,11
30276,13
30276,15
30276,24
30276,18
30276,4
164,5
164,6
164,7
7311,11
7311,23
7311,2
7311,3
7311,15
7311,4
17074,11
17074,23
17074,2
17074,4
17074,26
21939,6
21939,7
21939,12
21939,23
21939,24
21939,20
21939,4
457,6
457,7
457,12
457,23
457,24
457,20
457,4
2001,5
2001,6
2001,11
2001,21
2001,15
245,11
245,1
245,3
245,10
245,20
32983,1
32983,7
32983,27
32983,20
32983,4
5258,11
5258,1
5258,10
5258,17
28957,6
28957,7
28957,12
28957,23
28957,24
28957,20
28957,4
11665,1
11665,7
11665,27
11665,20
11665,4
431,6
431,1
431,7
431,2
11741,5
11741,7
11741,4
11741,16
31757,5
31757,23
31757,4
31757,26
19,1
19,28
19,23
19,29
19,30
19,24
19,16
12365,11
12365,1
12365,2
12365,10
1535,23
1535,29
1535,30
1535,4
1535,16
32366,11
32366,13
30654,5
30654,11
30654,3
30654,10
20583,11
20583,1
20583,3
20583,10
20583,17
19647,11
19647,1
19647,10
19647,17
4282,5
4282,1
4282,23
4282,2
4282,4
4282,16
10379,1
10379,7
10379,27
10379,20
10379,4
22135,30
22135,24
22135,17
21329,6
21329,7
21329,12
21329,23
21329,24
21329,20
21329,4
31043,23
31043,30
31043,24
31043,4
7785,23
7785,30
7785,2
3297,7
3297,15
3297,10
3297,20
30709,11
30709,31
30709,7
30709,27
30709,4
6114,1
6114,12
6114,24
6114,16
31240,1
31240,7
31240,30
31240,16
4565,5
4565,21
4565,15
4565,19
4565,18
5300,1
5300,7
5300,27
5300,20
5300,4
9989,1
9989,20
9989,4
24415,11
24415,3
24415,10
24415,17
11577,15
11577,16
10408,1
10408,2
10408,27
10408,4
28171,32
28171,3
28171,10
32995,11
32995,17
21899,5
21899,11
21899,12
21899,13
21899,14
21899,15
21899,10
26055,5
26055,6
26055,1
26055,10
26055,4
7472,5
7472,11
7472,12
7472,13
7472,14
7472,15
7472,10
777,5
777,28
777,9
777,24
777,4
777,26
22535,5
22535,1
22535,28
22535,30
22535,15
22535,24
28735,1
28735,12
