anime_id,genre_id
32281,7);
32281,26);
32281,28);
32281,39);
5114,1);
5114,2);
5114,7);
5114,9);
5114,17);
5114,20);
5114,33);
28977,1);
28977,4);
28977,13);
28977,23);
28977,27);
28977,29);
28977,33);
9253,29);
9253,40);
9969,1);
9969,4);
9969,13);
9969,23);
9969,27);
9969,29);
9969,33);
32935,4);
32935,7);
32935,28);
32935,33);
32935,37);
11061,1);
11061,2);
11061,33);
11061,38);
820,7);
820,20);
820,29);
820,36);
15335,1);
15335,4);
15335,13);
15335,23);
15335,27);
15335,29);
15335,33);
15417,1);
15417,4);
15417,13);
15417,23);
15417,27);
15417,29);
15417,33);
4181,7);
4181,9);
4181,26);
4181,35);
4181,39);
28851,7);
28851,28);
28851,33);
918,1);
918,4);
918,13);
918,23);
918,27);
918,29);
918,33);
2904,1);
2904,7);
2904,19);
2904,20);
2904,29);
2904,38);
28891,4);
28891,7);
28891,28);
28891,33);
28891,37);
199,2);
199,7);
199,39);
23273,7);
23273,21);
23273,26);
23273,28);
23273,33);
24701,2);
24701,9);
24701,13);
24701,22);
24701,30);
24701,35);
24701,39);
12355,9);
12355,35);
1575,1);
1575,19);
1575,20);
1575,28);
1575,29);
1575,38);
263,4);
263,7);
263,33);
263,37);
44,1);
44,7);
44,13);
44,18);
44,26);
44,27);
1,1);
1,2);
1,4);
1,7);
1,29);
1,36);
30276,1);
30276,4);
30276,23);
30276,29);
30276,30);
30276,38);
30276,39);
164,1);
164,2);
164,9);
7311,4);
7311,22);
7311,26);
7311,28);
7311,29);
7311,39);
17074,4);
17074,22);
17074,26);
17074,39);
17074,41);
21939,2);
21939,9);
21939,13);
21939,22);
21939,30);
21939,35);
21939,39);
457,2);
457,9);
457,13);
457,22);
457,30);
457,35);
457,39);
2001,1);
2001,2);
2001,4);
2001,19);
2001,29);
245,4);
245,7);
245,28);
245,33);
245,35);
32983,7);
32983,9);
32983,31);
32983,35);
32983,39);
5258,4);
5258,7);
5258,33);
5258,37);
28957,2);
28957,9);
28957,13);
28957,22);
28957,30);
28957,35);
28957,39);
11665,7);
11665,9);
11665,31);
11665,35);
11665,39);
431,2);
431,7);
431,9);
431,26);
11741,1);
11741,9);
11741,39);
11741,40);
31757,1);
31757,22);
31757,39);
31757,41);
19,7);
19,14);
19,22);
19,24);
19,25);
19,30);
19,40);
12365,4);
12365,7);
12365,26);
12365,33);
1535,22);
1535,24);
1535,25);
1535,39);
1535,40);
32366,4);
32366,23);
30654,1);
30654,4);
30654,28);
30654,33);
20583,4);
20583,7);
20583,28);
20583,33);
20583,37);
19647,4);
19647,7);
19647,33);
19647,37);
4282,1);
4282,7);
4282,22);
4282,26);
4282,39);
4282,40);
10379,7);
10379,9);
10379,31);
10379,35);
10379,39);
22135,25);
22135,30);
22135,37);
21329,2);
21329,9);
21329,13);
21329,22);
21329,30);
21329,35);
21329,39);
31043,22);
31043,25);
31043,30);
31043,39);
7785,22);
7785,25);
7785,26);
3297,9);
3297,29);
3297,33);
3297,35);
30709,4);
30709,6);
30709,9);
30709,31);
30709,39);
6114,7);
6114,13);
6114,30);
6114,40);
31240,7);
31240,9);
31240,25);
31240,40);
4565,1);
4565,19);
4565,29);
4565,36);
4565,38);
5300,7);
5300,9);
5300,31);
5300,35);
5300,39);
9989,7);
9989,35);
9989,39);
24415,4);
24415,28);
24415,33);
24415,37);
11577,29);
11577,40);
10408,7);
10408,26);
10408,31);
10408,39);
28171,8);
28171,28);
28171,33);
32995,4);
32995,37);
21899,1);
21899,4);
21899,13);
21899,23);
21899,27);
21899,29);
21899,33);
26055,1);
26055,2);
26055,7);
26055,33);
26055,39);
7472,1);
7472,4);
7472,13);
7472,23);
7472,27);
7472,29);
7472,33);
777,1);
777,14);
777,20);
777,30);
777,39);
777,41);
22535,1);
22535,7);
22535,14);
22535,25);
22535,29);
22535,30);
28735,7);
28735,13);
28735,15);
12431,4);
12431,29);
12431,30);
12431,35);
12431,36);
28805,2);
28805,39);
578,7);
578,13);
16894,4);
16894,28);
16894,33);
16894,37);
5028,4);
5028,7);
5028,26);
5028,37);
21,1);
21,2);
21,4);
21,7);
21,9);
21,33);
21,38);
801,1);
801,19);
801,20);
801,22);
801,24);
801,29);
801,30);
31933,1);
31933,2);
31933,4);
31933,7);
31933,33);
31933,39);
5205,1);
5205,22);
5205,26);
5205,39);
5205,40);
17389,1);
17389,13);
17389,20);
17389,30);
170,4);
170,7);
170,28);
170,33);
170,37);
10162,15);
10162,35);
18617,20);
18617,28);
32182,1);
32182,4);
32182,35);
32182,39);
877,4);
877,7);
877,21);
877,26);
877,31);
877,35);
2251,1);
2251,4);
2251,13);
2251,22);
2251,30);
2251,39);
24687,2);
24687,9);
24687,13);
24687,22);
24687,30);
24687,35);
24687,39);
16498,1);
16498,7);
16498,9);
16498,33);
16498,38);
10030,4);
10030,7);
10030,26);
10030,33);
5941,4);
5941,7);
5941,26);
5941,28);
5941,37);
30346,26);
30346,28);
30346,34);
30346,35);
3784,1);
3784,19);
3784,29);
13125,7);
13125,14);
13125,22);
13125,29);
13125,39);
12029,1);
12029,7);
12029,20);
12029,29);
12029,36);
14397,7);
14397,10);
14397,15);
14397,35);
14397,37);
10087,1);
10087,9);
10087,39);
14719,1);
14719,2);
14719,33);
14719,39);
14719,41);
9756,7);
9756,17);
9756,25);
9756,40);
10165,4);
10165,28);
10165,35);
13601,1);
13601,24);
13601,25);
13601,29);
22789,4);
22789,35);
30230,4);
30230,28);
30230,33);
30230,37);
18115,1);
18115,2);
18115,9);
18115,17);
18115,33);
11981,7);
11981,17);
11981,25);
